srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q10a,Q10b,Q10c,Q10d,sDevType,sOSName,age_gender
453,5,11,3,5,4,4,3,2,1,2,3,1,1,1,4,2,1,13,5
729,2,1,3,2,2,4,3,2,1,3,2,1,1,5,4,4,0,12,5
1332,4,16,1,5,3,4,4,1,2,2,1,1,4,4,4,2,2,6,7
567,2,11,1,3,3,4,4,3,2,3,3,2,4,4,4,2,0,12,8
1800,2,4,1,4,4,4,3,3,3,4,4,3,4,4,4,4,1,1,3
375,2,1,1,5,5,3,5,1,2,1,1,2,4,4,4,2,2,6,8
1342,2,30,3,3,3,4,4,3,3,3,4,2,4,4,4,2,0,12,8
600,4,16,15,1,1,1,1,1,1,1,1,1,2,4,5,1,0,12,7
442,4,30,3,3,3,3,2,3,3,3,3,3,4,4,4,2,1,1,6
1101,2,30,1,2,2,3,2,1,2,2,2,1,4,4,4,1,1,6,6
1145,2,1,4,3,2,1,2,1,1,1,1,1,4,4,4,4,-1,-1,6
809,2,32,4,5,1,3,5,1,1,2,3,1,1,2,1,2,0,12,5
41,2,13,3,4,4,4,4,2,2,1,2,2,2,4,4,2,1,1,3
588,1,36,1,5,5,5,2,2,1,4,2,1,5,5,5,1,-1,-1,8
1701,2,8,4,2,2,2,2,2,2,2,3,2,5,5,5,4,1,6,4
1802,2,19,4,3,2,3,2,2,1,3,3,2,2,2,4,4,0,8,7
686,4,19,3,2,2,2,2,2,2,3,3,2,2,2,4,4,0,12,7
701,1,11,4,4,2,4,2,2,2,3,2,2,5,5,4,5,-1,-1,8
1221,4,16,2,1,5,1,3,1,1,1,1,1,2,4,4,1,0,12,7
1705,2,1,3,3,2,4,4,2,2,3,3,3,2,4,4,4,0,12,4
1263,2,17,4,2,2,2,2,1,1,1,1,1,5,4,2,1,2,6,8
1694,2,19,3,2,2,3,3,2,2,3,3,1,5,5,4,4,-1,-1,7
1499,1,13,1,5,3,4,4,3,3,3,3,3,4,4,4,1,2,6,8
1120,2,16,1,2,2,3,2,1,1,2,2,1,1,1,2,1,2,6,7
1623,2,35,1,3,4,2,2,2,1,2,3,2,4,4,4,2,1,1,5
1143,4,17,3,4,2,2,2,1,1,1,2,1,2,4,4,1,-1,-1,8
1451,4,1,1,5,4,3,4,4,3,4,4,3,2,4,5,2,-1,-1,6
1268,4,11,5,4,3,4,4,1,1,3,3,1,2,4,4,1,2,6,4
284,2,96,1,5,3,4,5,1,1,1,1,1,1,2,2,1,0,12,8
1434,1,5,2,2,1,2,2,1,1,1,2,1,4,4,2,1,-1,-1,7
715,2,1,3,5,5,4,5,1,1,1,3,1,4,5,4,4,-1,-1,7
200,2,30,1,4,4,4,4,1,1,2,3,3,2,4,2,2,0,12,7
1183,5,13,6,4,5,1,1,1,2,2,1,1,5,5,5,5,-1,-1,8
1989,2,13,1,3,3,3,3,3,3,3,3,2,2,4,4,2,0,12,8
455,2,36,1,3,2,2,3,2,2,2,2,2,5,5,5,5,1,1,7
869,2,13,2,4,5,5,4,1,1,2,1,1,2,4,5,1,0,12,8
2503,2,-98,-98,4,4,4,5,3,2,3,4,3,4,5,4,4,1,1,4
1446,4,11,3,3,2,2,1,2,2,2,3,2,2,2,4,4,0,12,6
40,5,35,3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,6,4
857,1,13,11,3,3,2,2,1,1,1,2,1,4,4,2,1,0,12,8
1335,2,13,4,2,3,1,1,1,1,1,3,2,1,2,2,2,0,12,3
2198,2,28,3,3,3,3,3,3,3,3,3,3,4,4,2,2,1,6,4
870,2,16,1,4,4,4,4,2,1,2,2,1,2,4,2,1,0,12,7
237,1,6,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3
1646,2,29,3,3,4,3,2,3,3,4,4,3,4,4,4,2,0,12,6
1223,4,32,3,1,2,3,1,2,2,2,2,2,4,4,4,4,0,12,3
1063,2,96,3,3,3,3,3,4,4,4,4,3,2,4,4,4,0,12,6
1662,2,96,1,5,4,4,5,1,2,2,4,1,4,4,4,1,2,6,8
1506,2,-98,4,3,3,4,3,4,2,4,2,2,4,1,-98,1,2,6,6
854,5,37,4,3,3,1,2,2,1,2,2,2,2,2,2,2,0,12,2
1241,2,16,1,1,2,4,1,2,1,2,2,2,1,4,2,1,2,6,7
319,4,13,1,2,1,3,2,4,4,4,4,4,1,1,1,1,0,12,3
2522,5,35,4,1,2,1,1,1,1,1,3,1,1,1,2,1,2,6,5
124,2,1,4,2,2,2,2,2,2,2,2,2,4,4,4,2,0,12,6
2297,2,16,1,2,2,2,2,2,1,1,1,1,2,2,2,1,0,12,5
1530,2,16,-98,4,4,3,3,2,2,2,3,1,1,4,4,2,0,12,4
638,2,13,1,3,4,2,2,2,4,1,3,1,4,5,4,2,1,1,5
1606,1,17,3,4,2,4,4,1,1,3,3,3,5,5,5,4,-1,-1,8
942,2,11,3,2,2,4,4,3,2,4,4,2,1,2,2,2,1,1,3
2249,2,13,97,2,2,2,2,2,2,2,2,2,4,4,5,2,-1,-1,8
551,2,14,5,4,4,4,4,3,4,3,4,3,2,2,2,4,1,6,3
160,2,-98,1,3,2,3,3,1,1,1,2,1,2,1,2,2,0,12,5
667,2,13,1,5,5,5,5,3,2,3,3,3,4,4,1,4,1,6,5
618,2,13,1,3,5,3,5,3,3,4,3,2,4,2,2,2,0,12,3
1308,2,20,3,4,2,4,4,3,2,2,3,3,2,4,4,2,0,12,6
1568,4,-98,1,2,1,5,2,3,1,2,3,1,5,1,4,5,-1,-1,7
2206,4,32,1,2,2,2,1,1,2,2,1,2,4,5,4,2,0,8,7
1112,2,1,1,3,3,3,4,3,2,3,4,3,1,2,1,2,1,1,3
1967,2,6,4,4,3,3,4,3,2,2,3,2,4,2,2,2,1,1,4
1842,4,11,96,3,5,4,4,2,1,3,2,1,2,4,4,1,2,6,8
228,4,1,3,1,1,1,1,1,1,1,1,1,5,5,5,1,1,6,6
58,2,1,3,3,5,4,4,1,1,1,1,2,1,1,2,2,1,6,5
739,2,16,4,3,4,4,4,3,2,3,3,2,4,4,4,2,2,6,4
1234,2,5,1,2,1,3,3,2,1,3,2,2,4,4,4,2,0,8,8
1736,1,-98,3,3,2,3,2,3,3,3,3,3,4,4,4,4,1,6,3
192,2,5,1,4,3,4,3,2,2,2,2,2,2,4,2,1,1,6,5
635,2,11,4,2,2,1,2,3,2,1,4,3,4,4,1,4,1,1,4
804,2,13,1,3,3,3,3,2,1,3,1,1,5,4,4,2,1,6,5
1527,1,-99,-99,3,3,3,3,3,2,2,4,3,4,4,4,4,1,6,6
1559,2,1,3,4,4,3,4,3,3,3,4,2,2,4,4,2,-1,-1,7
1083,4,13,1,5,4,5,4,3,3,2,3,3,4,4,4,4,-1,-1,8
1760,2,1,1,5,5,5,5,1,1,1,1,1,5,4,4,1,0,12,5
652,2,1,3,3,3,4,4,4,3,2,3,2,2,2,2,4,1,1,1
39,2,1,1,3,5,3,3,3,2,3,2,3,2,2,2,2,1,1,3
779,2,4,4,2,2,3,2,1,1,2,2,1,2,4,4,1,0,8,4
1561,4,19,1,3,3,3,3,3,3,3,3,3,4,4,4,2,0,12,8
1643,2,16,4,1,1,2,4,1,1,2,4,2,4,4,4,4,0,12,3
1793,4,11,4,2,2,4,4,3,3,4,4,3,5,5,5,2,0,12,1
389,2,35,1,3,3,1,3,2,2,2,2,2,2,2,2,2,0,12,3
657,2,11,95,2,2,4,1,2,1,2,2,1,1,5,4,1,2,6,6
489,1,11,1,4,4,4,4,4,3,4,4,3,2,2,2,2,1,6,4
1840,2,20,97,4,4,3,3,4,2,3,4,4,1,2,1,2,0,12,8
1735,1,8,1,1,5,1,1,1,2,2,1,2,1,1,1,1,1,1,1
1522,2,1,1,4,4,5,5,2,3,2,3,3,2,2,2,2,0,12,5
99,4,1,97,3,5,4,3,1,1,2,2,1,2,2,4,2,2,1,8
2004,2,96,4,3,2,3,4,1,1,1,1,1,5,5,4,4,0,12,6
1480,2,11,3,3,3,3,3,3,3,3,4,2,2,4,2,2,1,6,4
417,2,16,-99,4,4,4,2,3,2,3,4,1,4,4,4,4,0,12,4
2314,4,13,1,5,5,5,4,1,1,1,1,1,4,4,2,2,1,6,4
794,2,16,4,2,2,3,3,1,1,2,1,2,1,4,4,2,0,12,6
2520,4,6,4,2,2,2,2,3,2,2,3,2,2,2,2,1,0,12,6
49,4,4,1,3,3,4,4,2,2,4,3,2,2,4,2,4,1,1,5
575,4,11,3,2,4,4,4,2,2,3,4,2,2,4,4,2,1,6,6
1587,2,-98,1,3,3,4,1,3,2,4,2,2,4,2,2,1,1,6,2
415,2,13,1,3,3,3,3,3,3,1,3,2,2,4,4,4,0,12,6
2345,2,13,3,1,1,2,4,2,1,2,3,2,2,4,5,2,0,12,4
425,4,6,3,4,1,2,3,1,1,2,3,2,1,2,2,2,0,8,5
2247,2,4,3,1,1,1,1,3,3,3,3,3,4,4,4,2,0,12,3
251,2,1,4,3,3,3,3,3,3,3,3,2,4,4,4,2,0,12,6
331,4,35,3,2,2,3,4,2,1,2,2,1,1,2,2,1,1,1,3
1884,4,35,3,2,2,3,3,3,1,3,3,2,2,2,2,2,0,8,4
295,2,13,1,3,3,3,3,1,1,1,1,1,1,1,1,2,0,12,8
272,2,1,3,2,3,4,2,3,2,2,3,1,4,4,4,2,0,8,5
619,4,13,3,3,3,3,2,2,2,3,3,3,4,4,4,5,0,12,4
1803,2,1,3,3,4,3,2,3,3,4,3,3,4,4,4,2,1,1,3
42,2,5,3,4,2,2,2,1,2,2,3,2,2,2,4,2,1,1,8
704,5,1,-98,1,1,1,3,1,1,1,2,1,5,5,5,4,2,6,4
1713,2,1,3,3,4,4,4,3,2,1,2,2,2,4,1,2,1,6,3
582,2,19,1,3,3,3,3,4,4,4,4,3,1,4,4,4,1,1,2
311,4,19,4,4,4,3,3,1,2,2,3,1,2,2,1,2,1,6,4
1674,2,13,97,3,2,2,3,2,1,2,2,2,2,4,4,2,0,12,3
980,2,34,4,3,2,2,2,3,2,1,3,1,4,4,4,2,1,6,6
1260,2,19,4,3,1,2,2,2,2,2,2,1,1,4,1,1,0,8,4
604,4,32,-98,3,3,3,3,1,1,1,1,1,1,2,2,1,0,12,6
1686,2,20,3,3,3,3,3,3,2,2,2,2,5,5,5,5,0,12,8
555,1,1,3,4,3,4,5,4,3,4,3,2,4,5,2,5,2,6,1
1806,2,1,3,3,2,2,2,3,3,2,3,3,2,2,2,2,1,6,4
1854,2,4,3,3,3,4,4,1,1,3,1,1,1,4,4,2,2,6,8
788,2,20,1,3,3,4,4,3,3,4,3,2,2,2,2,1,0,12,3
281,4,16,5,2,2,2,2,2,2,2,2,2,2,1,2,2,0,12,6
337,2,16,96,2,5,1,1,1,2,2,2,1,5,4,5,1,0,8,7
479,2,16,96,4,3,4,3,1,1,1,1,1,2,4,4,1,1,6,3
547,2,16,8,2,1,3,3,2,2,2,2,1,2,4,2,4,1,1,5
520,4,13,1,4,2,4,4,2,2,3,3,2,4,4,4,1,1,1,8
117,5,11,3,2,1,1,1,3,2,1,4,1,1,1,2,1,0,12,3
1716,5,1,3,4,4,4,3,3,1,2,3,2,2,4,2,2,1,6,3
2142,2,34,1,4,4,4,4,2,3,3,3,2,2,2,2,2,2,6,4
2554,2,4,4,4,3,4,3,3,3,4,3,3,2,5,5,2,1,6,2
1060,2,34,96,3,2,2,1,1,1,1,1,1,1,1,4,2,-1,-1,5
1194,2,19,1,4,4,4,4,2,2,3,3,3,3,4,2,4,0,12,5
1996,4,5,3,1,1,3,1,1,1,3,2,1,2,4,4,2,1,1,6
211,4,11,4,3,2,2,3,2,2,2,3,2,2,2,4,1,0,12,3
2038,1,1,1,3,3,2,2,4,2,3,2,2,4,4,4,4,1,1,3
1490,4,11,4,2,2,2,2,2,2,2,3,2,4,5,4,4,0,8,6
2228,4,1,3,2,1,2,2,1,1,1,1,1,2,4,4,1,0,12,4
593,2,20,1,4,1,4,2,3,3,4,3,2,4,2,4,2,2,6,3
599,2,16,97,5,2,3,3,1,2,1,2,2,2,1,2,1,0,12,7
753,4,11,4,1,1,1,1,1,1,2,2,1,1,2,2,2,0,12,4
2449,1,11,1,4,3,3,4,3,3,3,3,3,2,2,2,4,-1,-1,6
499,4,16,4,1,1,2,1,1,1,1,2,2,5,5,5,1,1,1,4
1878,2,11,1,3,3,3,4,1,1,1,1,1,2,2,2,2,1,1,4
949,2,1,1,3,2,2,3,2,2,1,2,1,4,1,2,1,0,12,3
2525,1,16,1,4,2,4,4,3,3,3,3,2,2,4,2,2,0,12,2
660,2,1,1,3,3,3,3,2,1,2,1,2,4,4,5,4,2,6,6
1764,2,13,3,4,4,4,2,2,3,3,3,2,1,1,2,1,1,6,4
2170,4,1,5,2,1,2,2,1,1,1,2,1,1,1,1,1,0,12,8
916,4,16,-98,3,4,2,4,1,1,2,2,1,1,1,2,1,0,12,5
1814,4,11,4,2,1,1,1,1,2,2,2,1,1,2,1,5,2,6,6
1951,4,16,95,2,2,3,2,2,2,2,4,2,1,2,4,2,0,12,6
1123,4,19,10,3,3,3,2,3,3,4,3,3,-98,4,4,2,2,6,4
1448,2,36,3,4,4,4,4,3,3,3,3,3,2,2,2,2,0,8,6
227,2,20,1,2,2,3,2,2,2,2,2,1,4,4,4,4,0,12,7
472,1,11,3,2,2,1,1,2,1,1,2,2,4,4,2,4,1,6,4
1542,2,-99,3,2,2,2,2,2,2,3,2,2,2,4,2,2,1,6,2
1755,2,16,4,1,2,3,4,3,2,2,3,2,2,4,1,4,2,6,5
2181,1,11,3,2,2,3,4,1,2,3,3,2,5,4,4,4,0,8,2
662,2,1,97,3,4,3,4,1,1,1,1,2,4,5,4,2,2,1,4
352,4,4,3,2,1,1,2,1,1,1,1,1,4,4,2,2,0,12,4
484,2,29,-98,3,2,4,3,2,2,2,2,2,2,4,4,2,0,12,5
2409,1,11,97,2,2,2,2,2,2,2,2,2,2,4,4,2,0,12,7
2165,1,17,4,3,2,3,2,2,2,3,3,3,5,5,4,4,1,6,6
1303,2,1,3,4,2,3,2,2,2,3,3,2,2,5,2,2,1,6,4
899,2,12,4,4,4,2,4,3,2,2,2,2,2,2,2,2,0,12,2
2054,4,14,4,2,1,2,3,3,3,2,4,2,4,5,5,4,1,6,2
1373,2,30,6,4,4,3,5,2,2,3,3,2,4,4,4,4,0,12,5
810,4,36,1,5,5,3,1,1,1,1,2,1,1,1,1,1,1,6,6
1133,2,13,1,2,2,2,2,1,1,2,2,2,2,4,2,5,-1,-1,7
163,2,32,1,3,3,3,2,3,2,2,3,3,4,4,4,2,1,6,6
2235,2,11,4,3,2,2,2,1,2,2,4,3,5,5,1,4,0,8,1
2073,4,16,3,4,2,4,2,4,2,3,4,3,2,4,4,2,1,6,5
536,2,11,1,2,1,3,2,3,3,4,3,2,5,5,5,5,0,8,2
2002,2,1,4,4,4,3,4,2,1,2,3,3,4,4,2,4,1,1,4
1253,4,11,2,4,3,4,3,4,3,4,3,3,4,4,4,4,0,8,4
1149,2,1,96,4,5,2,2,2,1,3,2,1,4,2,4,4,-1,-1,7
1160,4,13,1,5,5,3,4,1,1,1,1,1,1,2,2,2,-1,-1,8
2019,2,1,1,4,4,4,3,1,3,3,2,2,2,4,2,1,0,12,1
1381,4,20,-98,3,2,3,3,1,1,3,2,2,1,2,2,2,0,8,8
71,2,13,-99,5,5,5,5,1,1,1,1,1,4,4,4,1,0,12,6
1510,2,20,4,2,3,4,3,1,1,1,2,1,2,2,2,2,1,1,3
1868,4,20,4,4,4,3,2,1,1,2,3,2,2,4,4,4,0,12,3
998,2,1,2,4,5,2,3,2,2,2,3,2,2,2,2,2,0,12,3
979,2,1,3,3,3,4,3,1,1,2,3,2,1,4,2,2,0,12,5
1453,4,16,-99,3,3,1,1,1,1,1,1,1,2,4,4,1,-1,-1,8
565,2,1,1,3,3,3,3,1,1,1,2,1,2,2,2,2,0,12,5
654,4,5,3,2,3,4,2,1,1,2,1,1,4,2,1,2,2,6,6
256,2,13,1,1,1,2,3,1,1,2,2,1,1,2,1,1,1,6,2
1350,3,36,1,3,2,4,3,3,3,3,4,3,4,4,4,4,-1,-1,8
2058,2,17,1,4,4,4,4,3,3,4,-98,3,2,2,2,4,0,12,5
66,2,2,1,2,2,3,3,1,2,1,1,1,2,4,2,2,0,11,3
911,2,13,1,3,4,3,2,2,2,3,3,1,2,4,4,2,2,1,7
390,1,16,97,2,1,2,1,2,1,2,1,1,4,4,4,2,0,12,5
2079,2,13,3,3,2,2,2,1,1,1,1,1,5,5,4,5,0,12,5
1121,2,1,11,2,2,2,2,2,2,2,3,2,4,4,4,2,1,6,3
165,2,1,1,4,2,4,4,4,3,4,3,4,5,5,2,4,1,6,4
888,2,26,1,1,1,1,1,1,1,1,1,1,2,4,2,1,2,1,7
1645,2,18,1,4,2,3,3,2,2,2,4,3,2,4,4,4,0,12,5
550,2,4,-98,3,4,4,3,3,2,2,4,1,4,4,2,2,1,6,2
2001,2,1,4,1,1,2,1,1,1,1,3,1,1,1,4,1,1,1,5
1667,2,1,97,2,3,3,4,1,1,3,3,1,5,5,5,2,-1,-1,7
2185,2,20,3,4,4,3,2,4,3,3,3,1,4,5,5,1,2,6,6
989,2,16,1,2,2,2,2,4,4,3,4,4,5,5,5,5,1,1,5
1597,1,-98,6,3,3,3,3,1,1,1,1,4,2,4,2,2,1,1,4
2204,2,6,1,4,4,4,4,3,3,3,3,3,2,2,2,2,1,6,4
1191,4,16,4,2,2,1,2,1,2,2,3,1,1,2,4,1,1,1,4
1106,2,-98,4,2,4,4,5,3,2,2,3,3,4,4,4,2,1,6,4
1575,4,-99,3,4,3,2,2,2,2,1,2,1,2,2,1,1,0,12,3
497,4,13,3,5,5,5,5,2,1,2,2,1,2,2,4,2,0,12,5
2358,4,13,2,5,4,4,4,1,1,1,3,1,4,5,5,5,-1,-1,8
934,4,16,3,2,1,2,3,2,3,2,2,1,1,1,1,2,0,12,6
2538,2,16,3,4,3,4,3,4,4,4,4,3,4,4,5,4,2,6,4
572,2,-98,1,4,4,4,3,3,3,3,3,2,2,5,2,2,0,12,7
370,2,4,3,3,2,2,2,3,2,2,3,3,2,2,4,2,2,1,8
2576,2,36,3,4,4,4,4,3,3,3,3,1,2,4,4,4,0,12,4
2008,2,19,1,3,4,4,4,3,3,3,3,3,4,4,4,2,0,12,6
526,5,11,4,4,5,2,5,3,2,2,3,2,4,4,4,4,1,6,7
260,5,16,3,1,1,1,1,1,1,1,1,1,5,5,5,1,0,12,8
1258,4,29,1,4,3,4,3,2,2,3,3,1,2,4,2,2,1,6,4
34,2,14,3,1,1,1,1,3,3,1,3,2,4,4,5,2,1,6,6
1355,4,33,5,2,2,2,2,2,2,2,2,2,4,4,4,2,0,12,6
2530,4,32,11,3,2,3,2,1,1,2,1,2,4,5,5,2,0,12,6
1690,2,32,1,3,3,3,2,2,2,2,2,2,2,4,4,2,1,1,3
1276,2,1,1,4,2,4,4,3,3,4,4,4,5,5,5,5,0,12,3
1470,1,16,5,3,4,3,2,1,2,1,1,1,1,2,2,1,2,6,6
1743,2,1,1,2,2,3,3,3,3,4,3,3,4,4,4,2,1,6,6
1228,1,16,3,2,3,3,2,1,1,1,2,2,4,4,2,1,0,8,6
730,2,1,6,4,3,2,2,3,3,3,4,2,5,4,5,1,0,12,3
1855,5,11,3,2,2,1,2,2,2,2,3,2,1,4,4,2,1,1,6
833,2,5,1,2,3,3,3,3,2,3,3,3,2,2,2,2,1,6,3
1224,4,13,-98,4,4,4,2,4,4,2,4,4,5,5,5,1,1,6,4
2277,4,29,1,5,5,2,2,1,2,2,2,2,4,5,5,4,-1,-1,7
1175,5,1,97,1,1,1,1,1,1,1,4,1,5,5,5,5,-1,-1,5
2120,4,16,4,5,5,2,5,1,1,2,1,1,2,4,4,1,1,1,5
2153,4,20,3,2,2,4,3,4,1,2,1,1,4,4,4,1,-1,-1,5
511,4,11,3,5,5,4,5,1,1,1,1,1,5,5,4,5,0,12,7
210,1,11,1,4,4,4,4,4,4,4,4,4,2,4,4,4,0,12,7
658,2,-98,1,4,4,4,4,2,2,3,3,3,2,4,4,4,0,12,4
314,2,1,2,3,3,3,2,1,2,1,1,2,4,2,4,4,1,6,3
889,4,13,1,5,4,4,4,1,1,3,3,1,2,4,2,1,0,12,8
250,4,16,13,1,1,1,2,1,1,2,2,1,1,2,2,2,0,12,5
1935,2,13,6,4,4,3,3,1,1,1,1,1,4,2,4,1,2,6,6
2613,4,16,4,2,1,1,1,2,2,2,2,1,1,2,2,1,0,12,6
78,4,4,3,2,4,3,2,2,2,3,3,2,4,5,4,1,1,1,2
122,2,-98,5,2,3,3,4,1,2,2,1,2,2,2,2,1,1,1,7
609,2,11,2,3,2,2,2,1,1,2,1,1,4,4,2,2,0,12,8
939,2,11,3,3,2,2,2,3,1,4,4,1,4,4,4,1,0,12,3
929,4,28,96,2,2,2,2,2,2,2,2,2,3,4,4,2,1,6,5
1042,4,11,4,2,2,2,2,1,2,3,3,1,1,2,5,2,0,12,6
959,2,11,3,4,4,2,2,2,2,2,2,2,2,2,2,2,0,12,7
843,4,11,3,3,3,4,3,2,2,3,3,2,4,4,4,4,0,12,5
1249,2,33,-98,2,2,2,1,3,3,2,-98,3,5,5,5,4,0,12,3
1634,4,13,8,3,3,3,2,1,1,1,1,1,4,4,2,2,0,12,5
1343,2,-98,3,2,2,2,2,1,1,2,2,1,1,2,2,2,2,6,8
151,2,27,-98,2,2,1,2,2,2,2,2,-98,2,-98,2,2,2,6,4
1887,2,4,1,2,2,2,2,1,2,2,2,2,4,4,4,4,0,12,5
57,2,11,3,4,4,4,1,2,2,2,2,2,2,2,2,2,0,12,2
1392,4,96,1,2,2,3,2,2,3,3,3,3,4,4,4,2,1,1,3
450,2,36,1,3,3,4,3,3,1,3,1,1,2,4,5,2,0,12,8
145,2,20,4,2,1,2,5,1,2,2,4,1,2,2,2,4,1,6,6
1831,2,96,1,3,3,2,4,3,3,2,3,1,1,2,3,2,0,8,4
1834,4,13,3,4,3,4,2,3,3,3,4,3,4,4,5,2,1,6,6
1416,4,16,1,3,3,3,3,3,3,3,2,3,2,4,2,2,0,12,8
724,2,11,1,1,2,4,4,3,3,4,4,2,5,5,5,2,1,6,4
445,2,96,1,4,3,3,4,2,2,2,2,2,4,4,4,4,2,6,5
800,4,20,4,3,2,2,3,3,3,2,4,2,2,4,5,4,2,6,6
1629,4,11,4,3,3,3,3,1,1,2,2,1,1,1,2,1,2,6,6
2285,4,11,4,1,1,2,1,2,2,2,3,2,2,4,2,2,1,6,3
44,4,16,4,2,2,2,1,2,2,1,3,1,2,4,2,1,1,6,8
713,4,11,3,1,1,2,2,3,2,1,1,1,1,4,4,2,0,12,5
1823,1,29,1,3,2,4,3,2,2,3,4,3,4,5,4,2,0,8,7
1676,2,16,3,2,3,3,2,2,1,2,2,1,2,4,4,2,0,12,5
119,2,20,6,4,3,4,4,2,2,2,2,2,1,4,2,2,0,12,7
2044,2,1,1,4,4,2,3,1,3,4,3,2,2,5,4,-98,-1,-1,8
496,4,13,1,5,5,5,5,2,2,2,2,2,2,2,2,1,0,8,3
1429,4,20,3,3,2,4,2,3,3,2,3,2,2,2,2,4,0,12,4
235,1,16,3,4,3,2,3,1,1,1,1,1,4,4,4,1,0,12,7
540,2,18,3,3,3,4,2,2,2,2,2,2,2,4,4,4,0,12,7
905,4,16,3,3,2,2,1,2,1,1,2,1,2,4,2,1,2,1,7
2371,2,16,2,3,2,2,2,3,2,2,3,2,2,2,2,2,1,6,7
527,2,-98,1,3,3,3,3,3,3,3,3,3,4,4,4,4,0,8,2
2305,4,1,3,3,3,3,3,4,3,4,3,3,5,5,5,5,2,6,5
2531,2,2,2,5,2,4,4,2,2,3,3,1,2,4,2,2,2,6,4
1008,4,16,4,1,2,2,2,2,2,3,3,2,2,4,4,2,0,12,8
1750,2,16,4,3,3,2,2,2,2,2,3,3,4,4,2,2,1,6,1
2007,4,29,1,3,3,3,3,2,3,3,3,3,2,4,2,2,0,12,5
1269,4,33,3,2,1,2,1,1,2,1,1,1,1,4,4,2,1,1,3
742,4,36,1,3,2,4,4,2,2,3,2,2,2,4,2,1,0,12,4
948,1,1,-99,3,3,3,3,2,2,2,2,2,5,5,5,1,2,6,6
1974,1,20,3,3,3,4,4,3,2,3,3,3,4,4,4,2,1,6,8
552,2,-98,3,2,3,2,2,3,3,3,4,2,2,4,1,4,1,6,4
1378,4,13,3,2,2,2,3,1,1,1,2,1,4,5,4,4,-1,-1,7
378,4,19,1,4,4,4,3,2,2,2,2,2,4,4,4,2,1,6,4
935,2,36,4,2,3,3,3,2,2,2,2,2,2,4,4,2,0,12,7
217,4,4,3,4,4,3,2,3,3,3,4,2,2,2,4,2,1,1,4
1321,2,11,4,3,3,4,3,3,3,3,3,3,4,4,4,4,0,12,6
410,4,11,4,3,2,3,2,2,1,2,2,1,2,4,2,1,1,6,6
300,2,1,3,4,4,3,2,2,2,3,2,2,4,2,4,1,0,12,5
1619,4,1,96,3,3,3,2,1,1,1,2,2,2,2,2,1,1,1,6
802,2,1,2,5,3,3,2,3,2,3,4,4,4,5,4,1,0,12,8
56,1,1,1,1,5,4,3,2,2,4,3,2,5,5,4,2,0,8,3
1427,2,13,1,1,1,1,2,2,2,1,2,1,5,4,5,1,-1,-1,8
465,4,5,3,5,2,3,2,3,3,4,2,2,2,4,2,2,1,6,6
879,4,1,2,3,3,3,4,2,2,2,2,2,4,4,2,2,1,6,1
668,2,-98,1,3,3,3,3,2,3,3,4,2,2,4,5,2,1,6,3
610,2,4,1,3,3,2,3,2,2,2,2,2,4,4,4,4,1,6,4
1207,2,8,3,2,2,2,2,2,2,2,2,2,4,4,4,2,0,12,3
1213,2,13,6,4,3,4,4,2,1,3,3,1,2,2,4,1,0,12,5
2529,2,96,1,4,3,4,4,3,3,3,2,3,4,4,4,2,-1,-1,7
2294,2,1,1,4,2,3,2,3,1,1,3,1,4,4,2,2,-1,-1,4
738,2,16,1,1,5,1,5,1,1,2,1,1,4,2,2,4,0,12,3
92,4,16,4,2,3,2,3,2,2,2,2,2,2,4,2,2,1,6,3
951,2,16,1,4,5,3,3,2,1,1,3,2,4,4,4,4,2,6,8
762,5,16,96,2,1,2,3,2,1,3,2,1,1,1,4,2,2,6,7
874,2,17,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,4
1274,4,36,1,4,5,4,4,2,1,2,2,1,4,4,4,4,-1,-1,5
1851,4,32,4,3,4,2,2,1,1,1,1,1,4,4,2,2,1,6,5
1580,4,20,96,4,2,3,4,2,1,2,2,1,2,2,2,-99,-1,-1,7
1825,2,2,1,1,1,2,2,3,1,1,3,2,1,1,5,1,2,6,6
301,4,13,5,3,3,4,4,3,2,3,3,3,2,4,4,2,0,12,3
1812,2,13,16,5,4,3,3,1,1,2,3,2,5,5,5,4,0,12,5
894,2,36,2,2,3,3,2,3,2,2,2,2,4,4,4,2,0,12,8
1414,1,5,2,4,2,3,3,1,1,1,1,1,2,2,2,2,0,12,8
1894,2,13,1,4,4,3,4,1,2,2,2,2,2,2,4,1,1,1,8
2568,5,11,32,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4
1844,4,13,11,3,3,3,3,1,1,1,2,1,2,4,2,2,-1,-1,6
279,4,4,3,2,2,3,4,2,2,2,2,2,2,2,2,2,2,6,8
1942,1,16,1,3,2,1,2,1,1,2,2,1,4,5,4,5,-1,-1,7
391,4,16,97,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,5
790,2,36,1,3,2,3,3,3,2,3,4,2,4,2,4,4,-1,-1,7
1714,1,4,3,3,2,3,3,1,2,2,4,2,2,4,2,2,0,12,3
1004,2,34,-98,3,2,3,2,3,3,3,3,3,2,4,2,2,0,12,3
